forecast_temp,forecast_rain,wind_speed_10m_mean,wind_dir,pbl_max,date
25.626669,24.400002,8.225511,265.97806,,2013-01-01 00:00:00+07:00
25.58708,12.3,8.2224655,283.3925,1005.0,2013-01-02 00:00:00+07:00
26.726667,3.7,9.634085,273.1118,715.0,2013-01-03 00:00:00+07:00
25.420418,21.699997,12.939416,275.30502,1065.0,2013-01-04 00:00:00+07:00
25.157919,12.4,11.689893,272.72266,930.0,2013-01-05 00:00:00+07:00
25.49958,9.7,12.006598,261.2869,965.0,2013-01-06 00:00:00+07:00
25.93292,8.600001,10.726481,254.0432,835.0,2013-01-07 00:00:00+07:00
25.905832,8.3,13.485763,253.80469,925.0,2013-01-08 00:00:00+07:00
25.097496,18.6,16.715477,259.9353,955.0,2013-01-09 00:00:00+07:00
25.766249,2.8999999,20.567165,258.0984,965.0,2013-01-10 00:00:00+07:00
26.257914,2.5,18.431534,268.11288,1205.0,2013-01-11 00:00:00+07:00
25.745417,12.300002,11.802557,276.5373,1035.0,2013-01-12 00:00:00+07:00
25.372496,24.399998,10.2917,280.07858,880.0,2013-01-13 00:00:00+07:00
25.070414,20.0,7.334606,275.372,945.0,2013-01-14 00:00:00+07:00
24.666246,21.999998,8.225219,276.3022,700.0,2013-01-15 00:00:00+07:00
25.018332,7.0,6.623058,289.55634,750.0,2013-01-16 00:00:00+07:00
25.395416,8.699999,4.9610047,302.90524,780.0,2013-01-17 00:00:00+07:00
25.339163,23.599998,8.374003,269.4512,845.0,2013-01-18 00:00:00+07:00
26.043335,5.4,9.027262,277.7605,1045.0,2013-01-19 00:00:00+07:00
26.132912,6.5000005,9.183015,278.83948,1020.0,2013-01-20 00:00:00+07:00
26.218336,4.7999997,8.912378,301.52454,920.0,2013-01-21 00:00:00+07:00
26.039167,17.9,8.882583,298.37076,925.0,2013-01-22 00:00:00+07:00
25.347498,19.500002,11.322272,274.99442,810.0,2013-01-23 00:00:00+07:00
25.032911,11.599999,9.157683,277.05014,1045.0,2013-01-24 00:00:00+07:00
24.782919,14.0,7.3429475,277.17242,925.0,2013-01-25 00:00:00+07:00
24.876663,16.5,8.696416,283.8407,475.0,2013-01-26 00:00:00+07:00
25.243332,13.200001,10.207459,271.15457,500.0,2013-01-27 00:00:00+07:00
25.357912,16.9,10.404266,289.39673,950.0,2013-01-28 00:00:00+07:00
25.49125,10.8,6.6586137,288.58566,845.0,2013-01-29 00:00:00+07:00
25.795412,10.0,7.2926135,299.08115,790.0,2013-01-30 00:00:00+07:00
25.55583,13.0,6.698855,284.81052,990.0,2013-01-31 00:00:00+07:00
25.857918,9.1,6.4887676,303.85303,790.0,2013-02-01 00:00:00+07:00
25.655832,11.9,5.8473167,304.00748,845.0,2013-02-02 00:00:00+07:00
25.660002,17.900002,4.650771,352.1936,715.0,2013-02-03 00:00:00+07:00
26.320417,6.7,4.042418,185.90599,895.0,2013-02-04 00:00:00+07:00
25.876663,16.6,5.6999707,267.41702,1055.0,2013-02-05 00:00:00+07:00
25.403748,20.5,4.440686,229.79019,995.0,2013-02-06 00:00:00+07:00
25.81,4.7000003,5.1682158,258.2826,865.0,2013-02-07 00:00:00+07:00
26.243332,0.6,4.517806,295.40765,965.0,2013-02-08 00:00:00+07:00
26.730833,3.0,5.9941454,244.7989,960.0,2013-02-09 00:00:00+07:00
26.349579,10.499999,4.214298,90.00002,970.0,2013-02-10 00:00:00+07:00
25.701666,9.999999,4.7090273,63.43507,880.0,2013-02-11 00:00:00+07:00
25.816246,17.4,4.964516,72.38176,795.0,2013-02-12 00:00:00+07:00
25.557917,26.4,4.7366705,271.6249,925.0,2013-02-13 00:00:00+07:00
25.247496,21.300001,5.4265885,270.27676,860.0,2013-02-14 00:00:00+07:00
25.997503,4.6000004,8.53476,268.39294,705.0,2013-02-15 00:00:00+07:00
25.839165,17.8,12.191154,276.02026,815.0,2013-02-16 00:00:00+07:00
25.276667,12.000002,11.317522,265.16284,1020.0,2013-02-17 00:00:00+07:00
26.184998,2.1000001,13.861903,270.06323,1020.0,2013-02-18 00:00:00+07:00
25.272497,10.700001,11.946852,260.69366,1065.0,2013-02-19 00:00:00+07:00
25.066248,5.0,9.384894,279.65775,860.0,2013-02-20 00:00:00+07:00
25.60583,6.5000005,11.1862545,281.24396,895.0,2013-02-21 00:00:00+07:00
25.6975,6.7000003,11.281915,283.1693,1190.0,2013-02-22 00:00:00+07:00
25.620415,21.300001,12.018029,294.7052,1145.0,2013-02-23 00:00:00+07:00
26.299583,2.8,7.6925735,269.75354,1090.0,2013-02-24 00:00:00+07:00
26.868332,2.3000002,8.594778,277.8573,715.0,2013-02-25 00:00:00+07:00
26.84333,4.0,8.40657,288.2508,980.0,2013-02-26 00:00:00+07:00
26.724585,7.3000007,9.143884,273.72507,1195.0,2013-02-27 00:00:00+07:00
